number,name,rarity,stage,HP,type,ability_name,ability_effect,move1_name,move1_cost,move1_damage,move1_effect,move2_name,move2_cost,move2_damage,move2_effect,retreat_cost,pack_name,pack_points,image
A1 100,Electrode,◇◇,Stage 1,80,Lightning,N/A,N/A,Electro Ball,🟡🟡,70,N/A,N/A,N/A,N/A,N/A,0,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4004040/bf02e265efb4d9af8a1ed87d316d03d6.png/show
A1 101,Electabuzz,◇,Basic,70,Lightning,N/A,N/A,Thunder Punch,🟡🟡,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3995534/2a00fe7be840d52441121ae1072a30e4.png/show
A1 102,Jolteon,◇◇◇,Stage 1,90,Lightning,N/A,N/A,Pin Missile,🟡*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4006822/ed62f5a9def93af10a971be762d7c72f.png/show
A1 103,Zapdos,◇◇◇,Basic,100,Lightning,N/A,N/A,Raging Thgunder,🟡🟡*️⃣,100,This attack also does 30 damage to 1 of your Benched Pokemon.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4006832/42cbfcf6fa53511aa6383c0743577107.png/show
A1 104,Zapdos ex,◇◇◇◇,Basic,130,Lightning,N/A,N/A,Peck,🟡,20,N/A,Thundering Hurricane,🟡🟡🟡,N/A,N/A,2,Genetic Apex (A1) Pikachu,500,https://img.game8.co/4003554/f068b46b953ea963da1c8139cfb2c13f.png/show
A1 105,Blitzle,◇,Basic,60,Lightning,N/A,N/A,Zap Kick,🟡,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998587/15228aeea697296839a27955d00f0923.png/show
A1 106,Zebstrika,◇◇,Stage 1,90,Lightning,N/A,N/A,Thunder Spear,🟡,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,70,https://img.game8.co/3998338/51a7c6f568cf9f76dd82b06bbdb0f225.png/show
A1 107,Tynamo,◇,Basic,30,Lightning,N/A,N/A,Tiny Charge,🟡,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4003545/1d1ce66d61a50dc2030e96dd152d1f14.png/show
A1 108,Eelektrik,◇◇,Stage 1,80,Lightning,N/A,N/A,Head Bolt,🟡,40,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4004061/5f845c24c20efc13a0074e5e71958472.png/show
A1 109,Eelektross,◇◇◇,Stage 2,140,Lightning,N/A,N/A,Thunder Fang,🟡🟡*️⃣,80,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4003422/efc24d07c4a4cd932ae71bfd6845877f.png/show
A1 110,Helioptile,◇,Basic,60,Lightning,N/A,N/A,Tail Whap,🟡,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998588/0b4ddf3650dca6877055a40d082d63ef.png/show
A1 111,Heliolisk,◇,Stage 1,90,Lightning,N/A,N/A,Quick Attack,*️⃣*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998589/9ee41cdaf51a7e7711e47857024d2f2d.png/show
A1 112,Pincurchin,◇◇,Basic,70,Lightning,N/A,N/A,Thunder Shock,🟡🟡,30,"Flip a coin. If heads, your opponent’s Active Pokemon is now Paralyzed.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,70,https://img.game8.co/4009612/66b07b414ccc648238bc60ac3d579c6f.png/show
A1 113,Clefairy,◇,Basic,60,Psychic,N/A,N/A,Slap,🟣,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4003414/9dcb35d7fa5082b0b031341014d8d187.png/show
A1 114,Clefable,◇◇,Stage 1,100,Psychic,N/A,N/A,Magical Shot,🟣,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,70,https://img.game8.co/3998609/b2821886651ed293692c8d9cda69b2b5.png/show
A1 115,Abra,◇,Basic,60,Psychic,N/A,N/A,Teleport,*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4003397/cb58f454e33712f7b5c7e38e14abee70.png/show
A1 116,Kadabra,◇◇,Stage 1,80,Psychic,N/A,N/A,Super Psy Bolt,🟣*️⃣*️⃣,60,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998610/e67b77edfe99fadd96dcdcff683569be.png/show
A1 117,Alakazam,◇◇◇,Stage 2,130,Psychic,N/A,N/A,Psychic,🟣*️⃣*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/4006606/523ab122017000268224172795f85180.png/show
A1 118,Slowpoke,◇,Basic,70,Psychic,N/A,N/A,Tail Whap,🟣*️⃣,30,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Any,35,https://img.game8.co/4009610/201934d9cc6bba93f69c6107bf319376.png/show
A1 119,Slowbro,◇◇,Stage 1,130,Psychic,N/A,N/A,Super Psy Bolt,🟣🟣*️⃣,80,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Any,70,https://img.game8.co/3998608/65feb355a7e4b4c46edb192ed68fab50.png/show
A1 120,Gastly,◇,Basic,60,Psychic,N/A,N/A,Suffocating Gas,🟣,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998607/dbb93af052f59df016605370ba7a25f7.png/show
A1 121,Haunter,◇◇,Stage 1,80,Psychic,N/A,N/A,Will-O-Wisp,🟣,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/3995541/262629502a9a145e53d062c261bdabad.png/show
A1 122,Gengar,◇◇◇,Stage 2,130,Psychic,N/A,N/A,Bother,🟣,50,Your opponent can't use any Supporter cards from their hand during their next turn.,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4003429/f120acaa874e2fc0d8a4826d031783db.png/show
A1 123,Gengar ex,◇◇◇◇,Stage 2,170,Psychic,Shadowy Spellbind,"As long as this Pokemon is in the Active Spot, your opponent can't use any Supporter cards from their hand.",N/A,N/A,N/A,N/A,Spooky Shot,🟣🟣🟣,100,N/A,2,Genetic Apex (A1) Mewtwo,500,https://img.game8.co/4003428/35f468fe22fdb7583f1fedd87cfba82c.png/show
A1 124,Drowzee,◇,Basic,70,Psychic,N/A,N/A,Mumble,🟣*️⃣,30,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4004043/d7ed9c055fa250174c8a9a2d53f146e6.png/show
A1 125,Hypno,◇◇◇,Stage 1,100,Psychic,Sleep Pendulum,"Once during your turn, you may flip a coin. If heads, your opponent's Active Pokemon is now Asleep.",N/A,N/A,N/A,N/A,Psypunch,🟣🟣*️⃣,50,N/A,2,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4003512/f6adfd638f3b3ed7f2543cdc3f0cd64f.png/show
A1 126,Mr. Mime,◇◇,Basic,80,Psychic,N/A,N/A,Barrier Attack,🟣*️⃣,30,"During your opponent's next turn, this Pokemon takes -20 damage from attacks.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/3998933/f157c77e1774830de79d61befc2172f7.png/show
A1 127,Jynx,◇,Basic,80,Psychic,N/A,N/A,Psychic,🟣*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4003514/51ed2e876172360fe15e001de05154d5.png/show
A1 128,Mewtwo,◇◇◇,Basic,120,Psychic,N/A,N/A,Power Blast,🟣🟣*️⃣*️⃣,120,Discard 2 Psychic Energy from this Pokemon.,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4006312/a888b167bfb0b129f0c62577d74f3830.png/show
A1 129,Mewtwo ex,◇◇◇◇,Basic,150,Psychic,N/A,N/A,Psychic Sphere,🟣*️⃣,50,N/A,Psydrive,🟣🟣*️⃣*️⃣,150,Discard 2 Psychic Energy from this Pokemon.,2,Genetic Apex (A1) Mewtwo,500,https://img.game8.co/3998355/f14c91467792bea73eb38ea1b73c394d.png/show
A1 130,Ralts,◇,Basic,60,Psychic,N/A,N/A,Ram,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4004059/9cf2938800ac5ed17bb4dbefb365461b.png/show
A1 131,Kirlia,◇◇,Stage 1,80,Psychic,N/A,N/A,Smack,🟣*️⃣,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4006688/ca66f4d7724ac72cf3fd5b22114403c4.png/show
A1 132,Gardevoir,◇◇◇,Stage 2,110,Psychic,Psy Shadow,"Once during your turn, you may take 1 Psychic Energy from your Energy Zone and attach it to the Psychic Pokemon in the Active Spot.",N/A,N/A,N/A,N/A,Psyshot,🟣🟣*️⃣,60,N/A,2,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/3995538/8f0a707732a41daba04a4b1ffd8d9924.png/show
A1 133,Woobat,◇,Basic,60,Psychic,N/A,N/A,Gnaw,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998654/140ea059e27793bccf20b65736701065.png/show
A1 134,Swoobat,◇,Stage 1,60,Psychic,N/A,N/A,Heart Stamp,🟣*️⃣,60,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,70,https://img.game8.co/3998655/07c7ed7eba5487a38e2c8491fb5a52fc.png/show
A1 135,Golett,◇,Basic,90,Psychic,N/A,N/A,Mega Punch,🟣*️⃣*️⃣,50,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Any,35,https://img.game8.co/4004045/2fd8372c6aaa6014a931e7d369a00a71.png/show
A1 136,Golurk,◇◇,Stage 1,140,Psychic,N/A,N/A,Double Lariat,🟣🟣*️⃣*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Any,70,https://img.game8.co/3998652/f676af9d5c04b1985428da54bfcd6523.png/show
A1 137,Sandshrew,◇,Basic,70,Fighting,N/A,N/A,Scratch,🟤,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998653/9cd5ea3c6b7bcfbed012db869c788d66.png/show
A1 138,Sandslash,◇◇,Stage 1,100,Fighting,N/A,N/A,Slash,🟤🟤,70,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Any,70,https://img.game8.co/3998337/3c00a7468c8a83dbb62d061bc3837e76.png/show
A1 139,Diglett,◇,Basic,50,Fighting,N/A,N/A,Mud-Slap,🟤,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4003416/cc387415208485e1cdbfc5f2229ad195.png/show
A1 140,Dugtrio,◇◇,Stage 1,70,Fighting,N/A,N/A,Dig,🟤,40,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokemon.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4006602/20668efc84e28401fe0525ee3938be74.png/show
A1 141,Mankey,◇,Basic,60,Fighting,N/A,N/A,Low Kick,🟤,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4003518/3d568ebec7d930e269a876b272a89c3d.png/show
A1 142,Primeape,◇◇,Stage 1,90,Fighting,N/A,N/A,Fight Back,🟤🟤,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,70,https://img.game8.co/4003539/652b8c2e0e991bf7686eb8d33e8abfdf.png/show
A1 143,Machop,◇,Basic,70,Fighting,N/A,N/A,Knuckle Punch,🟤,20,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,35,https://img.game8.co/4006823/a5258bec9738adf95e20c5f2004f3295.png/show
A1 144,Machoke,◇◇,Stage 1,100,Fighting,N/A,N/A,Strength,🟤🟤,50,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998367/91aa9c0103b3c854a5889540016b06b4.png/show
A1 145,Machamp,◇◇◇,Stage 2,150,Fighting,N/A,N/A,Seismic Toss,🟤🟤🟤,100,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Charizard,150,https://img.game8.co/4006935/6891fd5c942d46afed777d8dfbc27532.png/show
A1 146,Machamp ex,◇◇◇◇,Stage 2,180,Fighting,N/A,N/A,Mega Punch,🟤🟤🟤,120,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Charizard,500,https://img.game8.co/4003517/742fb22918369ddb455472957cdf3462.png/show
A1 147,Geodude,◇,Basic,70,Fighting,N/A,N/A,Tackle,🟤,20,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3998371/392f079998fdfa85aa1d8aa6993dc77b.png/show
A1 148,Graveler,◇◇,Stage 1,100,Fighting,N/A,N/A,Rollout,🟤*️⃣*️⃣,70,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4004064/b7fe0f284816cd08978b1d02e65762e5.png/show
A1 149,Golem,◇◇◇,Stage 2,160,Fighting,N/A,N/A,Double-Edge,🟤*️⃣*️⃣*️⃣,150,This Pokemon also does 50 damage to itself.,N/A,N/A,N/A,N/A,4,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4006818/129f5a8b18e4c38b62469ed4961570bb.png/show
A1 150,Onix,◇◇,Basic,110,Fighting,N/A,N/A,Land Crush,🟤🟤🟤,70,N/A,N/A,N/A,N/A,N/A,4,Genetic Apex (A1) Pikachu,70,https://img.game8.co/3998961/a882e91232b19cd8d3de86e8f0b08b9d.png/show
A1 151,Cubone,◇,Basic,60,Fighting,N/A,N/A,Growl,*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3995528/14c693825b41c11e9a375b8aeae8a3fc.png/show
A1 152,Marowak,◇◇,Stage 1,100,Fighting,N/A,N/A,Bone Beatdown,🟤,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4006936/78aa9b9f6c3afbfc7f3a364c68ed425f.png/show
A1 153,Marowak ex,◇◇◇◇,Stage 1,140,Fighting,N/A,N/A,Bonemerang,🟤🟤,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,500,https://img.game8.co/3998336/89619844d0b1b7c0c61573adf4fb56c0.png/show
A1 154,Hitmonlee,◇,Basic,80,Fighting,N/A,N/A,Stretch Kick,🟤,80,This attack does 30 damage to 1 of your opponent’s Benched Pokemon.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4009611/c81a5efaba0ec70d68defa66c676b144.png/show
A1 155,Hitmonchan,◇,Basic,80,Fighting,N/A,N/A,Jab,🟤,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998372/d89cdb8b06afb9380a0627fc2dc162cd.png/show
A1 156,Rhyhorn,◇,Basic,80,Fighting,N/A,N/A,Tackle,🟤🟤*️⃣,60,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998349/c1b8fd39fce0da3ae342fb130f098f68.png/show
A1 157,Rhydon,◇◇,Stage 1,120,Fighting,N/A,N/A,Horn Drill,🟤🟤🟤*️⃣,100,N/A,N/A,N/A,N/A,N/A,4,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4006831/cf3cc442a7229012ace62b92e5ccfab8.png/show
A1 158,Kabuto,◇◇,Stage 1,90,Fighting,N/A,N/A,Shell Attack,🟤,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998959/d47b9c4995dd0c85e0ca90f15bd798b3.png/show
A1 159,Kabutops,◇◇◇,Stage 2,140,Fighting,N/A,N/A,Leech Life,🟤,50,Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,150,https://img.game8.co/3998958/b625adc521236a0ae506a5ee5b6ea0ee.png/show
A1 160,Mienfoo,◇,Basic,60,Fighting,N/A,N/A,Pound,*️⃣,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3995554/923feac2e8d16e4be2fde3ce671afd7c.png/show
A1 161,Mienshao,◇◇,Stage 1,80,Fighting,N/A,N/A,Spiral Kick,*️⃣,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,70,https://img.game8.co/3998957/dd421699db038c54b63aa24a0623d4d3.png/show
A1 162,Clobbopus,◇,Basic,80,Fighting,N/A,N/A,Knuckle Punch,🟤*️⃣,30,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Any,35,https://img.game8.co/3998360/44a15bfe556073283b8fe8c4cce4e6db.png/show
A1 163,Grapploct,◇◇,Stage 1,130,Fighting,N/A,N/A,Knock Back,🟤🟤*️⃣,70,Switch out your opponent's Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.),N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Any,70,https://img.game8.co/3998996/9b610f5a691406f3b3ecc538d82fd59a.png/show
A1 164,Ekans,◇,Basic,60,Darkness,N/A,N/A,Bite,⚫,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998994/28c1cb93a5337e59f957c8e66d857391.png/show
A1 165,Arbok,◇◇,Stage 1,100,Darkness,N/A,N/A,Corner,⚫*️⃣,60,"During your opponent's next turn, the Defending Pokemon can't retreat.",N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Any,70,https://img.game8.co/3998348/8b30a6669f1d16c249143ec1f98b581e.png/show
A1 166,Nidoran F,◇,Basic,60,Darkness,N/A,N/A,Call for Family,⚫,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4003527/1c1cfc36c52855f8c573771698b8d40e.png/show
A1 167,Nidorina,◇◇,Stage 1,80,Darkness,N/A,N/A,Bite,⚫,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,70,https://img.game8.co/3998995/3b3faf7b23b84f0d79c922bc9050b94b.png/show
A1 168,Nidoqueen,◇◇◇,Stage 2,140,Darkness,N/A,N/A,Lovestrike,⚫⚫*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4003526/f134aa8ae2dedc30cac2a52cfb329a09.png/show
A1 169,Nidoran M,◇,Basic,60,Darkness,N/A,N/A,Peck,⚫,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4003529/134e97a2d6d2c075fa7190920210040d.png/show
A1 170,Nidorino,◇◇,Stage 1,90,Darkness,N/A,N/A,Horn Attack,⚫*️⃣,40,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4003531/2d3114a26ae095fb998e4ebe30a56c2f.png/show
A1 171,Nidoking,◇◇◇,Stage 2,150,Darkness,N/A,N/A,Poison Horn,⚫⚫*️⃣,90,Your opponent's Active Pokemon is now Poisoned.,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Pikachu,150,https://img.game8.co/3998341/f11efea55a7ac2d2f76ed2e33ba4f154.png/show
A1 172,Zubat,◇,Basic,50,Darkness,N/A,N/A,Glide,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998992/6e058f983a528a4780ee49f26650a41c.png/show
A1 173,Golbat,◇◇,Stage 1,40,Darkness,N/A,N/A,Wing Attack,*️⃣,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/3998993/dae8b0ddb240315d058f9dd03ddba4ea.png/show
A1 174,Grimer,◇,Basic,70,Darkness,N/A,N/A,Poison Gas,⚫,10,Your opponent’s Active Pokemon is now Poisoned.,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4006819/f16b9a744bafa482dbc2919c3e16e92b.png/show
A1 175,Muk,◇◇◇,Stage 1,130,Darkness,N/A,N/A,Venoshock,⚫⚫*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4006607/2a9dbb46ee7397e46f1822a43cd273f7.png/show
A1 176,Koffing,◇,Basic,70,Darkness,N/A,N/A,Suffocating Gas,⚫,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998344/f9f63ebe9697671e81da2790e62d7833.png/show
A1 177,Weezing,◇◇◇,Stage 1,110,Darkness,Gas Leak,"Once during your turn, if this Pokemon is in the Active Spot, you may make your opponent's Active Pokemon Poisoned.",N/A,N/A,N/A,N/A,Tackle,⚫,30,N/A,3,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4006321/3d637c863dc335eb1074e3057f6af701.png/show
A1 178,Mawile,◇,Basic,70,Metal,N/A,N/A,Crunch,⚪,20,"Flip a coin. If heads, discard a random Energy from your opponent's Active Pokemon.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3999024/d88e034430a8535db19a66f7aa325e81.png/show
A1 179,Pawniard,◇,Basic,50,Metal,N/A,N/A,Pierce,⚪,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3999023/3b7eb0ffdb3105eae0662a50b2e33aa2.png/show
A1 180,Bisharp,◇◇,Stage 1,70,Metal,N/A,N/A,Metal Claw,⚪⚪,70,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,70,https://img.game8.co/3999025/ee0b3d044bd8994cd6bbd39f1c27613f.png/show
A1 181,Meltan,◇,Basic,70,Metal,N/A,N/A,Amass,⚪,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4009609/e5cd8c0ef45c681ac2fd0fe541668e0e.png/show
A1 182,Melmetal,◇◇◇,Stage 1,130,Metal,Hard Coat,This Pokemon takes -20 damage from attacks.,N/A,N/A,N/A,N/A,Heavy Impact,⚪⚪⚪*️⃣,120,N/A,3,Genetic Apex (A1) Charizard,150,https://img.game8.co/4006824/9fa907a861b732c1633f0214bd53f9a8.png/show
A1 183,Dratini,◇,Basic,70,Dragon,N/A,N/A,Ram,🔵🟡,70,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998335/06a6057b224d2d3f3a15dbd309fb417f.png/show
A1 184,Dragonair,◇◇,Stage 1,100,Dragon,N/A,N/A,Tail Smack,🔵🟡*️⃣,80,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/3998333/2ca1b85a1456c467fff8cb87311a664f.png/show
A1 185,Dragonite,◇◇◇,Stage 2,160,Dragon,N/A,N/A,Draco Meteor,🔵🟡*️⃣*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4003421/af570ea43d94164a13b55142bc5b1fa1.png/show
A1 186,Pidgey,◇,Basic,60,Colorless,N/A,N/A,Gust,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4003534/fdc6097918ecbb22868016dca585436b.png/show
A1 187,Pidgeotto,◇,Stage 1,80,Colorless,N/A,N/A,Gust,*️⃣,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4003533/a3bfe78f284f53cd9f7a57c6ad68b1df.png/show
A1 188,Pidgeot,◇◇◇,Stage 2,130,Colorless,Drive Off,"Once during your turn, you may switch out your opponent’s Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.)",N/A,N/A,N/A,N/A,Wing Attack,*️⃣*️⃣,70,N/A,1,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4006597/3d0ed642832267973161fd7fc47b9030.png/show
A1 189,Rattata,◇,Basic,40,Colorless,N/A,N/A,Gnaw,*️⃣,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998358/24efbd2c57e5649137de00885ac585bd.png/show
A1 190,Raticate,◇,Stage 1,80,Colorless,N/A,N/A,Bite,*️⃣,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998331/29e6dd0a73fe1c5a7e501d6feef5ec2d.png/show
A1 191,Spearow,◇,Basic,60,Colorless,N/A,N/A,Peck,*️⃣,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998365/89349bf1d4c0e933497b75eded7999bd.png/show
A1 192,Fearow,◇,Stage 1,100,Colorless,N/A,N/A,Drill Run,*️⃣*️⃣,50,"Flip a coin. If heads, discard a random Energy from your opponent's Active Pokemon.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4003426/646690e32240925f624e7381d62f6a6b.png/show
A1 193,Jigglypuff,◇,Basic,60,Colorless,N/A,N/A,Pound,*️⃣*️⃣,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3999116/163dec7f3e18d728bb575bc6ec8c321f.png/show
A1 194,Wigglytuff,◇,Stage 1,100,Colorless,N/A,N/A,Hyper Voice,*️⃣*️⃣,60,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3999117/6f1c22b3e7cee7a7b05a18b77aceae26.png/show
A1 195,Wigglytuff ex,◇◇◇◇,Stage 1,140,Colorless,N/A,N/A,Sleepy Song,*️⃣*️⃣*️⃣,80,Your opponent's Active Pokemon is now Asleep.,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,500,https://img.game8.co/4006323/10185c388a698bdcc9e96053a8883105.png/show
A1 196,Meowth,◇,Basic,60,Colorless,N/A,N/A,Pay Day,*️⃣,10,Draw 1 card.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3999118/f0ce29d5b9e703e0c85183b1afa93713.png/show
A1 197,Persian,◇◇,Stage 1,90,Colorless,N/A,N/A,Shadow Claw,*️⃣*️⃣,40,"Flip a coin. If heads, discard a random card from your opponent's Active Pokemon.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,70,https://img.game8.co/4009508/6b5fcd585a8e52a04dff37f54a319674.png/show
A1 198,Farfetch'd,◇,Basic,60,Colorless,N/A,N/A,Leek Slap,*️⃣,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/4006687/fec322f353d485852448532daf965ed9.png/show
